document_id,document_type,title,approval_status,sharepoint_path,content
DOC-001,SOP,Fermentation SOP v1,Approved,Quality/EnzymeProduction,"Approved Aspergillus niger enzyme fermentation procedure. Target temperature 29-31 C, pH 5.5-6.1, dissolved oxygen generally above 25%, controlled feed profile, deviation documentation required."
DOC-002,SOP,Fermentation SOP v2,Approved,Quality/EnzymeProduction,"Approved Aspergillus niger enzyme fermentation procedure. Target temperature 29-31 C, pH 5.5-6.1, dissolved oxygen generally above 25%, controlled feed profile, deviation documentation required."
DOC-003,SOP,Fermentation SOP v3,Approved,Quality/EnzymeProduction,"Approved Aspergillus niger enzyme fermentation procedure. Target temperature 29-31 C, pH 5.5-6.1, dissolved oxygen generally above 25%, controlled feed profile, deviation documentation required."
DOC-004,SOP,Fermentation SOP v4,Approved,Quality/EnzymeProduction,"Approved Aspergillus niger enzyme fermentation procedure. Target temperature 29-31 C, pH 5.5-6.1, dissolved oxygen generally above 25%, controlled feed profile, deviation documentation required."
DOC-005,SOP,Fermentation SOP v5,Approved,Quality/EnzymeProduction,"Approved Aspergillus niger enzyme fermentation procedure. Target temperature 29-31 C, pH 5.5-6.1, dissolved oxygen generally above 25%, controlled feed profile, deviation documentation required."
DOC-006,Deviation Investigation,Deviation Investigation B2026-0111,Closed,Quality/EnzymeProduction,"Investigation for B2026-0111. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-007,Deviation Investigation,Deviation Investigation B2026-0228,Closed,Quality/EnzymeProduction,"Investigation for B2026-0228. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-008,Deviation Investigation,Deviation Investigation B2026-0280,Closed,Quality/EnzymeProduction,"Investigation for B2026-0280. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-009,Deviation Investigation,Deviation Investigation B2026-0273,Closed,Quality/EnzymeProduction,"Investigation for B2026-0273. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
DOC-010,Deviation Investigation,Deviation Investigation B2026-0156,Closed,Quality/EnzymeProduction,"Investigation for B2026-0156. Review of dissolved oxygen, feed rate, temperature, raw material lot, inoculum, HPLC purity, and enzyme activity. Sustained low dissolved oxygen and aggressive feed were evaluated as possible yield drivers."
